popSize,probCrossover,probMutate,numGens,Stage,Generation,Best_Fitness,Avg_Fitness,test
50, 0.001, 0.001, 2, 1, 0, 176, 482.54, 0
50, 0.001, 0.001, 2, 1, 1, 175, 250.26, 0
50, 0.001, 0.001, 2, 2, 0, 93, 385.4, 0
50, 0.001, 0.001, 2, 2, 1, 93, 236.04, 0
50, 0.001, 0.001, 2, 3, 0, 179, 381.54, 0
50, 0.001, 0.001, 2, 3, 1, 177, 221.96, 0
50, 0.001, 0.001, 2, 4, 0, 94, 375.08, 0
50, 0.001, 0.001, 2, 4, 1, 94, 112.84, 0
50, 0.001, 0.001, 2, 1, 0, 174, 385.4, 1
50, 0.001, 0.001, 2, 1, 1, 174, 216.54, 1
50, 0.001, 0.001, 2, 2, 0, 48, 354.38, 1
50, 0.001, 0.001, 2, 2, 1, 78, 247.48, 1
50, 0.001, 0.001, 2, 3, 0, 188, 583.64, 1
50, 0.001, 0.001, 2, 3, 1, 186, 466.94, 1
50, 0.001, 0.001, 2, 4, 0, 59, 340.6, 1
50, 0.001, 0.001, 2, 4, 1, 59, 129.44, 1
50, 0.001, 0.001, 2, 1, 0, 172, 374.24, 2
50, 0.001, 0.001, 2, 1, 1, 172, 218.8, 2
50, 0.001, 0.001, 2, 2, 0, 76, 400.56, 2
50, 0.001, 0.001, 2, 2, 1, 79, 295.92, 2
50, 0.001, 0.001, 2, 3, 0, 181, 598.92, 2
50, 0.001, 0.001, 2, 3, 1, 181, 378.36, 2
50, 0.001, 0.001, 2, 4, 0, 361, 447.96, 2
50, 0.001, 0.001, 2, 4, 1, 260, 371.8, 2
50, 0.001, 0.001, 2, 1, 0, 179, 357.52, 3
50, 0.001, 0.001, 2, 1, 1, 179, 214.1, 3
50, 0.001, 0.001, 2, 2, 0, 143, 383.92, 3
50, 0.001, 0.001, 2, 2, 1, 136, 236.24, 3
50, 0.001, 0.001, 2, 3, 0, 210, 597.46, 3
50, 0.001, 0.001, 2, 3, 1, 210, 554.5, 3
50, 0.001, 0.001, 2, 4, 0, 151, 467.84, 3
50, 0.001, 0.001, 2, 4, 1, 446, 473.68, 3
50, 0.001, 0.001, 2, 1, 0, 171, 470.4, 4
50, 0.001, 0.001, 2, 1, 1, 171, 249.84, 4
50, 0.001, 0.001, 2, 2, 0, 102, 411.46, 4
50, 0.001, 0.001, 2, 2, 1, 103, 299.48, 4
50, 0.001, 0.001, 2, 3, 0, 182, 344.9, 4
50, 0.001, 0.001, 2, 3, 1, 182, 204.6, 4
50, 0.001, 0.001, 2, 4, 0, 300, 485.08, 4
50, 0.001, 0.001, 2, 4, 1, 300, 441.52, 4
50, 0.001, 0.001, 2, 1, 0, 177, 508.3, 5
50, 0.001, 0.001, 2, 1, 1, 177, 254.62, 5
50, 0.001, 0.001, 2, 2, 0, 229, 461.34, 5
50, 0.001, 0.001, 2, 2, 1, 219, 362.24, 5
50, 0.001, 0.001, 2, 3, 0, 192, 401.04, 5
50, 0.001, 0.001, 2, 3, 1, 192, 219.54, 5
50, 0.001, 0.001, 2, 4, 0, 120, 451.2, 5
50, 0.001, 0.001, 2, 4, 1, 251, 454.08, 5
50, 0.001, 0.001, 2, 1, 0, 183, 498.06, 6
50, 0.001, 0.001, 2, 1, 1, 183, 277.48, 6
50, 0.001, 0.001, 2, 2, 0, 27, 419.94, 6
50, 0.001, 0.001, 2, 2, 1, 16, 267.44, 6
50, 0.001, 0.001, 2, 3, 0, 182, 487.24, 6
50, 0.001, 0.001, 2, 3, 1, 182, 246.58, 6
50, 0.001, 0.001, 2, 4, 0, 247, 345.6, 6
50, 0.001, 0.001, 2, 4, 1, 247, 294.4, 6
50, 0.001, 0.001, 2, 1, 0, 182, 338.12, 7
50, 0.001, 0.001, 2, 1, 1, 182, 213.52, 7
50, 0.001, 0.001, 2, 2, 0, 46, 389.96, 7
50, 0.001, 0.001, 2, 2, 1, 155, 276.16, 7
50, 0.001, 0.001, 2, 3, 0, 175, 307.12, 7
50, 0.001, 0.001, 2, 3, 1, 175, 217.08, 7
50, 0.001, 0.001, 2, 4, 0, 259, 359.28, 7
50, 0.001, 0.001, 2, 4, 1, 260, 351.92, 7
50, 0.001, 0.001, 2, 1, 0, 174, 378.16, 8
50, 0.001, 0.001, 2, 1, 1, 174, 199.38, 8
50, 0.001, 0.001, 2, 2, 0, 126, 386.12, 8
50, 0.001, 0.001, 2, 2, 1, 121, 236.2, 8
50, 0.001, 0.001, 2, 3, 0, 582, 626.92, 8
50, 0.001, 0.001, 2, 3, 1, 582, 594.22, 8
50, 0.001, 0.001, 2, 4, 0, 169, 378.68, 8
50, 0.001, 0.001, 2, 4, 1, 169, 198.76, 8
50, 0.001, 0.001, 2, 1, 0, 187, 386.86, 9
50, 0.001, 0.001, 2, 1, 1, 187, 234.26, 9
50, 0.001, 0.001, 2, 2, 0, 23, 432.06, 9
50, 0.001, 0.001, 2, 2, 1, 20, 342.64, 9
50, 0.001, 0.001, 2, 3, 0, 298, 459.5, 9
50, 0.001, 0.001, 2, 3, 1, 298, 392.42, 9
50, 0.001, 0.001, 2, 4, 0, 442, 490.08, 9
50, 0.001, 0.001, 2, 4, 1, 442, 444.96, 9
50, 0.001, 0.001, 10, 1, 0, 164, 492.62, 0
50, 0.001, 0.001, 10, 1, 1, 156, 264.28, 0
50, 0.001, 0.001, 10, 1, 2, 156, 183.08, 0
50, 0.001, 0.001, 10, 1, 3, 153, 181.58, 0
50, 0.001, 0.001, 10, 1, 4, 153, 191.2, 0
50, 0.001, 0.001, 10, 1, 5, 147, 205.22, 0
50, 0.001, 0.001, 10, 1, 6, 141, 173.52, 0
50, 0.001, 0.001, 10, 1, 7, 141, 196.98, 0
50, 0.001, 0.001, 10, 1, 8, 141, 166.08, 0
50, 0.001, 0.001, 10, 1, 9, 141, 142.02, 0
50, 0.001, 0.001, 10, 2, 0, 77, 361.58, 0
50, 0.001, 0.001, 10, 2, 1, 89, 264.36, 0
50, 0.001, 0.001, 10, 2, 2, 53, 122.56, 0
50, 0.001, 0.001, 10, 2, 3, 60, 460.6, 0
50, 0.001, 0.001, 10, 2, 4, 97, 357.44, 0
50, 0.001, 0.001, 10, 2, 5, 215, 442.64, 0
50, 0.001, 0.001, 10, 2, 6, 215, 354.84, 0
50, 0.001, 0.001, 10, 2, 7, 215, 417.28, 0
50, 0.001, 0.001, 10, 2, 8, 215, 327.2, 0
50, 0.001, 0.001, 10, 2, 9, 204, 325.64, 0
50, 0.001, 0.001, 10, 3, 0, 223, 475.94, 0
50, 0.001, 0.001, 10, 3, 1, 171, 368.84, 0
50, 0.001, 0.001, 10, 3, 2, 145, 216.0, 0
50, 0.001, 0.001, 10, 3, 3, 145, 192.08, 0
50, 0.001, 0.001, 10, 3, 4, 142, 196.6, 0
50, 0.001, 0.001, 10, 3, 5, 142, 200.28, 0
50, 0.001, 0.001, 10, 3, 6, 142, 166.56, 0
50, 0.001, 0.001, 10, 3, 7, 142, 152.48, 0
50, 0.001, 0.001, 10, 3, 8, 141, 151.48, 0
50, 0.001, 0.001, 10, 3, 9, 140, 185.08, 0
50, 0.001, 0.001, 10, 4, 0, 108, 267.08, 0
50, 0.001, 0.001, 10, 4, 1, 108, 261.52, 0
50, 0.001, 0.001, 10, 4, 2, 145, 349.84, 0
50, 0.001, 0.001, 10, 4, 3, 145, 246.6, 0
50, 0.001, 0.001, 10, 4, 4, 215, 336.4, 0
