Stage,Generation,Best_Fitness,Avg_Fitness,test
1, 0, 171, 438.74, 0
1, 1, 170, 314.695, 0
1, 2, 169, 306.22, 0
1, 3, 168, 282.16, 0
1, 4, 165, 276.23, 0
1, 5, 143, 282.095, 0
1, 6, 163, 273.56, 0
1, 7, 164, 281.355, 0
1, 8, 156, 269.12, 0
1, 9, 156, 326.385, 0
1, 10, 155, 323.795, 0
1, 11, 156, 287.75, 0
1, 12, 156, 246.99, 0
1, 13, 155, 287.37, 0
1, 14, 150, 282.505, 0
1, 15, 147, 279.855, 0
1, 16, 147, 285.19, 0
1, 17, 147, 317.915, 0
1, 18, 144, 310.065, 0
1, 19, 142, 305.875, 0
1, 20, 141, 330.52, 0
1, 21, 142, 312.905, 0
1, 22, 140, 325.21, 0
1, 23, 140, 322.45, 0
1, 24, 140, 347.685, 0
1, 25, 135, 344.88, 0
1, 26, 135, 314.36, 0
1, 27, 136, 325.815, 0
1, 28, 134, 334.56, 0
1, 29, 134, 323.425, 0
1, 30, 134, 318.31, 0
1, 31, 135, 332.185, 0
1, 32, 135, 315.485, 0
1, 33, 133, 322.0, 0
1, 34, 134, 326.415, 0
1, 35, 136, 328.615, 0
1, 36, 134, 333.75, 0
1, 37, 130, 320.475, 0
1, 38, 131, 332.06, 0
1, 39, 128, 314.88, 0
1, 40, 128, 339.4, 0
1, 41, 129, 307.48, 0
1, 42, 128, 326.505, 0
1, 43, 127, 358.175, 0
1, 44, 125, 308.66, 0
1, 45, 121, 335.27, 0
1, 46, 121, 287.505, 0
1, 47, 120, 296.505, 0
1, 48, 121, 334.375, 0
1, 49, 121, 331.965, 0
2, 0, 16, 332.32, 0
2, 1, 50, 331.06, 0
2, 2, 10, 324.66, 0
2, 3, 26, 311.95, 0
2, 4, 17, 331.76, 0
2, 5, 24, 332.12, 0
2, 6, 24, 340.37, 0
2, 7, 24, 335.45, 0
2, 8, 24, 320.07, 0
2, 9, 24, 288.6, 0
2, 10, 16, 317.66, 0
2, 11, 14, 297.82, 0
2, 12, 14, 340.27, 0
2, 13, 24, 372.92, 0
2, 14, 14, 301.13, 0
2, 15, 24, 290.05, 0
2, 16, 24, 331.03, 0
2, 17, 14, 294.81, 0
2, 18, 14, 276.54, 0
2, 19, 14, 237.92, 0
2, 20, 21, 256.45, 0
2, 21, 24, 230.09, 0
2, 22, 24, 192.59, 0
2, 23, 24, 224.01, 0
2, 24, 24, 221.38, 0
2, 25, 24, 223.31, 0
2, 26, 24, 250.24, 0
2, 27, 24, 260.0, 0
2, 28, 24, 248.66, 0
2, 29, 24, 276.06, 0
2, 30, 24, 227.42, 0
2, 31, 24, 192.8, 0
2, 32, 24, 224.24, 0
2, 33, 22, 227.57, 0
2, 34, 22, 206.39, 0
2, 35, 22, 210.1, 0
2, 36, 22, 211.23, 0
2, 37, 22, 254.45, 0
2, 38, 22, 274.42, 0
2, 39, 22, 269.87, 0
2, 40, 22, 266.66, 0
2, 41, 14, 216.45, 0
2, 42, 13, 224.96, 0
2, 43, 13, 223.68, 0
2, 44, 14, 176.86, 0
2, 45, 13, 225.75, 0
2, 46, 13, 219.12, 0
2, 47, 13, 198.4, 0
2, 48, 13, 198.22, 0
2, 49, 13, 209.23, 0
3, 0, 538, 715.325, 0
3, 1, 468, 687.93, 0
3, 2, 151, 608.895, 0
3, 3, 154, 542.585, 0
3, 4, 147, 443.895, 0
3, 5, 147, 394.685, 0
3, 6, 142, 366.46, 0
3, 7, 136, 385.13, 0
3, 8, 145, 347.25, 0
3, 9, 141, 390.115, 0
3, 10, 143, 375.07, 0
3, 11, 141, 350.81, 0
3, 12, 137, 340.11, 0
3, 13, 133, 357.0, 0
3, 14, 136, 325.355, 0
3, 15, 136, 358.25, 0
3, 16, 134, 363.205, 0
3, 17, 134, 344.235, 0
3, 18, 133, 348.305, 0
3, 19, 133, 338.955, 0
3, 20, 132, 322.705, 0
3, 21, 133, 363.045, 0
3, 22, 133, 302.945, 0
3, 23, 129, 319.365, 0
3, 24, 129, 327.18, 0
3, 25, 129, 290.44, 0
3, 26, 130, 352.805, 0
3, 27, 131, 308.965, 0
3, 28, 128, 344.68, 0
3, 29, 128, 313.11, 0
3, 30, 128, 311.84, 0
3, 31, 128, 318.125, 0
3, 32, 127, 314.565, 0
3, 33, 127, 304.68, 0
3, 34, 125, 315.94, 0
3, 35, 127, 304.685, 0
3, 36, 127, 312.945, 0
3, 37, 123, 299.01, 0
3, 38, 125, 311.16, 0
3, 39, 125, 305.595, 0
3, 40, 125, 336.475, 0
3, 41, 124, 322.22, 0
3, 42, 122, 317.355, 0
3, 43, 125, 319.245, 0
3, 44, 122, 297.995, 0
3, 45, 122, 307.52, 0
3, 46, 122, 332.24, 0
3, 47, 122, 321.475, 0
3, 48, 122, 339.555, 0
3, 49, 121, 332.535, 0
4, 0, 25, 194.44, 0
4, 1, 32, 132.61, 0
4, 2, 32, 107.63, 0
4, 3, 32, 177.22, 0
4, 4, 32, 145.32, 0
4, 5, 32, 110.16, 0
4, 6, 25, 126.81, 0
4, 7, 25, 107.68, 0
4, 8, 25, 118.04, 0
4, 9, 32, 147.15, 0
4, 10, 32, 155.35, 0
4, 11, 32, 194.94, 0
4, 12, 32, 188.69, 0
4, 13, 32, 145.49, 0
4, 14, 32, 207.81, 0
4, 15, 25, 130.8, 0
4, 16, 32, 140.0, 0
4, 17, 25, 146.54, 0
4, 18, 25, 168.35, 0
4, 19, 32, 145.71, 0
4, 20, 32, 159.57, 0
4, 21, 25, 137.19, 0
4, 22, 25, 152.04, 0
4, 23, 25, 153.02, 0
4, 24, 25, 179.69, 0
4, 25, 24, 142.54, 0
4, 26, 25, 224.95, 0
4, 27, 25, 166.72, 0
4, 28, 25, 158.46, 0
4, 29, 25, 179.59, 0
4, 30, 25, 201.13, 0
4, 31, 24, 164.86, 0
4, 32, 24, 137.34, 0
4, 33, 25, 148.62, 0
4, 34, 24, 179.0, 0
4, 35, 25, 184.36, 0
4, 36, 25, 160.04, 0
4, 37, 25, 158.75, 0
4, 38, 25, 158.46, 0
4, 39, 25, 182.02, 0
4, 40, 22, 152.6, 0
4, 41, 25, 152.97, 0
4, 42, 22, 96.1, 0
4, 43, 22, 145.84, 0
4, 44, 22, 138.9, 0
4, 45, 22, 141.7, 0
4, 46, 22, 162.62, 0
4, 47, 22, 205.53, 0
4, 48, 22, 284.24, 0
4, 49, 22, 262.71, 0
1, 0, 156, 529.66, 1
1, 1, 154, 347.575, 1
1, 2, 145, 310.89, 1
1, 3, 148, 317.23, 1
1, 4, 147, 311.995, 1
1, 5, 146, 277.42, 1
1, 6, 142, 262.01, 1
1, 7, 139, 264.47, 1
1, 8, 143, 271.365, 1
1, 9, 136, 261.085, 1
1, 10, 139, 268.555, 1
1, 11, 136, 262.8, 1
1, 12, 136, 264.235, 1
1, 13, 133, 252.11, 1
1, 14, 133, 269.235, 1
1, 15, 134, 263.155, 1
1, 16, 134, 259.505, 1
1, 17, 134, 266.01, 1
1, 18, 135, 278.985, 1
1, 19, 135, 281.185, 1
1, 20, 136, 271.69, 1
1, 21, 135, 284.7, 1
1, 22, 134, 284.305, 1
1, 23, 134, 267.45, 1
1, 24, 131, 277.875, 1
1, 25, 132, 250.525, 1
1, 26, 132, 239.58, 1
1, 27, 132, 254.465, 1
1, 28, 132, 269.095, 1
1, 29, 130, 240.97, 1
1, 30, 130, 278.59, 1
1, 31, 129, 277.21, 1
1, 32, 125, 244.88, 1
1, 33, 123, 288.215, 1
1, 34, 128, 267.96, 1
1, 35, 124, 264.405, 1
1, 36, 126, 275.5, 1
1, 37, 125, 285.16, 1
